location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,2,first projection,0,0.0,2025-08-01,2025-09-30
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,3,first projection,48232,0.1,2025-08-01,2025-09-30
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,4,first projection,289389,0.6,2025-08-01,2025-09-30
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,5,first projection,144695,0.3,2025-08-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,all,current,937604,1.0,2025-07-01,2025-08-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,3+,current,937604,1.0,2025-07-01,2025-08-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,1,current,0,0.0,2025-07-01,2025-08-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,2,current,0,0.0,2025-07-01,2025-08-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,3,current,187521,0.2,2025-07-01,2025-08-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,4,current,468802,0.5,2025-07-01,2025-08-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,5,current,281281,0.3,2025-07-01,2025-08-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,all,first projection,937604,1.0,2025-08-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,3+,first projection,937603,1.0,2025-08-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,1,first projection,0,0.0,2025-08-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,2,first projection,0,0.0,2025-08-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,3,first projection,93760,0.1,2025-08-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,4,first projection,515682,0.55,2025-08-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,5,first projection,328161,0.35,2025-08-01,2025-09-30
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,all,current,559300,1.0,2025-07-01,2025-08-31
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,3+,current,559300,1.0,2025-07-01,2025-08-31
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,1,current,0,0.0,2025-07-01,2025-08-31
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,2,current,0,0.0,2025-07-01,2025-08-31
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,3,current,111860,0.2,2025-07-01,2025-08-31
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,4,current,335580,0.6,2025-07-01,2025-08-31
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,5,current,111860,0.2,2025-07-01,2025-08-31
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,all,first projection,559300,1.0,2025-08-01,2025-09-30
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,3+,first projection,559300,1.0,2025-08-01,2025-09-30
